,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,queueId,counter,gameCreation,week
1586196841996,Red,1,1,1,1,1,0,0,11,4,2,3,0,0,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 516, 'pickTurn': 7}, {'championId': 55, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 86, 'pickTurn': 10}]",Flex,1,1586196841996,2.0
1585771594947,Blue,1,1,1,1,1,0,1,9,3,1,2,0,2,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 8, 'pickTurn': 2}, {'championId': 122, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 516, 'pickTurn': 5}]",Flex,1,1585771594947,1.0
1585767664063,Red,1,0,1,1,1,1,1,11,4,2,4,0,2,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 8, 'pickTurn': 7}, {'championId': 122, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 9, 'pickTurn': 10}]",Flex,1,1585767664063,1.0
1585692025461,Blue,0,1,0,0,0,1,0,2,0,0,1,0,0,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 8, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': 122, 'pickTurn': 4}, {'championId': 51, 'pickTurn': 5}]",Flex,1,1585692025461,1.0
1585689486193,Red,1,0,1,1,1,1,1,10,2,1,3,0,2,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 8, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 122, 'pickTurn': 9}, {'championId': 51, 'pickTurn': 10}]",Flex,1,1585689486193,1.0
1585686822564,Red,1,0,0,1,0,0,1,11,5,0,2,0,1,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 8, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 122, 'pickTurn': 9}, {'championId': 51, 'pickTurn': 10}]",Flex,1,1585686822564,1.0
1585600253906,Blue,1,1,1,0,0,0,1,3,0,0,1,0,1,0,"[{'championId': 2, 'pickTurn': 1}, {'championId': 8, 'pickTurn': 2}, {'championId': 240, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1585600253906,1.0
1585597442246,Blue,1,0,0,1,1,0,0,9,2,1,2,0,0,0,"[{'championId': 164, 'pickTurn': 1}, {'championId': 8, 'pickTurn': 2}, {'championId': 240, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1585597442246,1.0
1585595311731,Blue,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"[{'championId': 8, 'pickTurn': 1}, {'championId': 35, 'pickTurn': 2}, {'championId': 120, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1585595311731,1.0
1585591862770,Red,1,1,1,1,1,0,1,11,4,2,4,0,2,0,"[{'championId': 64, 'pickTurn': 6}, {'championId': 8, 'pickTurn': 7}, {'championId': 111, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 122, 'pickTurn': 10}]",Flex,1,1585591862770,1.0
